Almac�n;CODIGO;Desc. c�digo;Stock;Caducidad;Ubicaci�n;Precio;Importe;P.de Venta;Importe Venta;Dif. Precio;Dif. Importe;ABC;Familia;Descripci�n;Desc. c�digo;VA_COLOR;VA_COLOR2;VA_TOOLTIP
1;122844;ACOFARDERM PACK PROMO GEL ALOE TRIPLO;0;;;;;0;;;;;101;Parafarmacia;ACOFARDERM PACK PROMO GEL ALOE TRIPLO;;;
1;164988;ACOFARMA ESYLMA DISCOS DESMAQUILLANTES 80 DISCOS;0;jul-29;;;;0;;;;;106;Efectos y accesorios;ACOFARMA ESYLMA DISCOS DESMAQUILLANTES 80 DISCOS;;;
1;205341;ACOFARMA NESIRA AGUA DE MAR HIPERTONICA 1 ENVASE 125 ML;0;may-28;;;;0;;;;;106;Efectos y accesorios;ACOFARMA NESIRA AGUA DE MAR HIPERTONICA 1 ENVASE 125 ML;;;
1;168352;ACOFARMA NESIRA AGUA DE MAR ISOTONICA Y ESTERIL ADULTOS 1 ENVASE 125 ML;0;may-28;;;;0;;;;;106;Efectos y accesorios;ACOFARMA NESIRA AGUA DE MAR ISOTONICA Y ESTERIL ADULTOS 1 ENVASE 125 ML;;;
1;161766;ACOFARMA NESIRA AMPOLLAS ANTICAIDA FORTE 15 AMPOLLAS 5 ML;0;dic-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA AMPOLLAS ANTICAIDA FORTE 15 AMPOLLAS 5 ML;;;
1;203061;ACOFARMA NESIRA DESODORANTE 1 ROLL ON 75 ML;0;may-30;;;;0;;;;;101;Parafarmacia;ACOFARMA NESIRA DESODORANTE 1 ROLL ON 75 ML;;;
1;236737;ACOFARMA NESIRA EDULCORANTE DE MESA 2 ENVASES 500 COMPRIMIDOS;0;;;;;0;;;;;103;Diet�tica;ACOFARMA NESIRA EDULCORANTE DE MESA 2 ENVASES 500 COMPRIMIDOS;;;
1;166697;ACOFARMA NESIRA EUCALIPTO HOJAS 1 ENVASE 80 G;0;;;0;0;3,95;0;3,95;0;;101;Parafarmacia;ACOFARMA NESIRA EUCALIPTO HOJAS 1 ENVASE 80 G;;;
1;200939;ACOFARMA NESIRA GEL ACEITE OLIVA/OMEGA 1 ENVASE 750 ML;0;feb-27;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL ACEITE OLIVA/OMEGA 1 ENVASE 750 ML;;;
1;200936;ACOFARMA NESIRA GEL ALMENDRAS DULCES Y MIEL 1 ENVASE 750 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL ALMENDRAS DULCES Y MIEL 1 ENVASE 750 ML;;;
