Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12;
664161;8470006641613;ACOXXEL 90 MG 28 COMP;4;0;0;1;0;0;1;2;0;0;0;0;0;
960518;8470009605186;ACTIMAG SOL 100 CC;23;2;2;2;2;2;4;2;2;0;0;3;2;
701292;8470007012924;ACTITHIOL MUC INF 20MGML200ML;7;0;2;0;1;0;0;0;0;1;1;0;2;
701284;8470007012849;ACTITHIOL MUCO ANTIHIS SOL200M;10;0;1;0;1;0;0;1;0;1;1;2;3;
753285;8470007532859;ACTIVELLE 28 COMP;65;5;4;4;6;4;6;6;9;7;8;1;5;
660730;8470006607305;ACTONEL 75 MG 2 COMP;9;1;0;3;0;2;0;0;1;1;1;0;0;
715578;8470007155782;ACTONEL SEMANAL 35MG 4COM GAST;16;3;0;0;1;0;2;1;2;1;2;1;3;
723358;8470007233589;ACTROMADOL 660 MG 8 COMP;18;2;1;2;4;2;2;0;1;0;1;2;1;
954925;8470009549251;ACTRON COMPUESTO 20 COMP EFER;7;1;0;0;0;0;0;1;1;2;0;1;1;
668467;8470006684672;ACULAR COLI 5 ML;7;0;0;0;1;0;0;1;0;3;1;0;1;
204435;8470002044357;ACUMAX CAPS 30;2;0;0;0;0;0;0;0;0;0;0;1;1;
675256;8470006752562;ACUOLENS 0.5 ML 30 MONODOSIS;8;3;0;1;0;0;0;0;1;0;2;0;1;
730053;8470007300533;ADALAT OROS 30 MG 28 COM;58;5;3;5;4;4;5;5;4;5;8;3;7;
766001;8470007660019;ADENURIC 80 MG 28 COM;10;1;2;4;3;0;0;0;0;0;0;0;0;
664677;8470006646779;ADENURIC 80 MG 28 COMP;25;0;0;0;0;1;4;4;4;2;4;4;2;
715341;8470007153412;ADIAVAL 1000MG880UI 30 COM;11;1;1;1;1;1;2;1;1;1;1;0;0;
192304;8470001923042;ADIPROX ADVANCED FLUIDO 325 GR;1;0;0;0;0;0;0;0;0;0;1;0;0;
723798;8470007237983;ADIRO 100 MG 30COMPR (EFG);468;42;45;44;41;34;31;41;36;38;43;30;43;
841056;8470008410569;ADIRO EFG 300 MG 30 COMP;28;0;3;4;2;2;5;1;1;2;2;4;2;
723751;8470007237518;ADISOCOL 150MG 60COM;1;0;0;0;0;0;0;0;0;1;0;0;0;
KAWU3262;KAWU3262;ADO QUATRO 70 ML;1;0;0;0;0;0;0;1;0;0;0;0;0;
658668;8470006586686;ADOLONTA RETARD 50 MG 20 COM;4;0;0;0;2;1;0;0;0;0;0;0;1;
658669;8470006586693;ADOLONTA RETARD 50 MG 60 COM;7;0;0;0;0;2;2;1;1;1;0;0;0;
654187;8470006541876;ADRENALINA LEVEL JGA 1 ML;7;1;0;0;0;0;0;0;1;0;4;1;0;
590115;8470005901152;ADTAB 48 MG GATOS 2-8 KG 1 CPD;3;0;0;1;0;0;0;0;1;0;1;0;0;
658953;8470006589533;ADVAGRAF 0.5 MG 30 CAPS;4;1;1;1;1;0;0;0;0;0;0;0;0;
658956;8470006589564;ADVAGRAF 1 MG 60 CAPS;6;1;2;1;1;0;0;0;0;0;0;0;1;
662915;8470006629154;ADVAGRAF 3 MG 30 CAPS;5;1;1;1;1;0;0;0;0;0;1;0;0;
658957;8470006589571;ADVAGRAF 5 MG 30 CAPS;13;0;0;1;1;1;1;2;1;2;1;1;2;
570237;8470005702377;ADVANTIX 10-25 KG 4 PIPETAS;1;0;0;0;0;0;0;1;0;0;0;0;0;
570235;8470005702353;ADVANTIX 4-10 KG 4 PIPETAS;1;0;0;0;0;0;1;0;0;0;0;0;0;
