Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12
656750;8,47001E+12;BUSCAPINA 10 MG 60 COMP;19;2;1;4;2;1;0;1;3;3;2;0;0
168700;8,47E+12;CABESTRILLO FUTURO AJUSTABLE;2;0;0;0;0;0;0;0;0;1;0;1;0
694522;8,47001E+12;CADELIUS D 600MG1000UI 30COM;1;0;0;0;0;0;0;0;1;0;0;0;0
663425;8,47001E+12;CADUET 5MG10MG 28 COMP;11;1;1;0;0;1;1;1;1;1;2;1;1
724120;8,47001E+12;CAFIASPIRINA 20 COMP;28;2;2;2;2;3;3;3;2;3;5;0;1
663240;8,47001E+12;CAFINITRINA 20 COMP REC SUBLIN;3;0;0;1;2;0;0;0;0;0;0;0;0
110853;8,47E+12;CAJA PROTESIS SILIC DENTALES;4;0;2;0;1;0;0;0;1;0;0;0;0
337919;8,47E+12;CALAMINA IOOX LOCION CORP 200;1;0;1;0;0;0;0;0;0;0;0;0;0
492975;8,47E+12;CALCETIN FARMALAS FTE NE MD;4;0;0;2;0;0;0;0;0;0;0;0;2
658183;8,47001E+12;CALCIOVIT D3 ROVI 1GR30CO EFE;2;1;0;0;1;0;0;0;0;0;0;0;0
660691;8,47001E+12;CALCIUMOSTEO D 2500 mg (1000 mg Ca)/880 UI 30 COMPRIMIDOS EFERVESCENTES;2;0;0;0;0;0;1;0;0;0;1;0;0
195285;8,47E+12;CALLIVORO CALLOS A.SAL 10 APOS;2;0;0;0;0;0;0;0;0;0;1;0;1
953273;8,47001E+12;CALMATEL CR 60 G;1;0;0;0;0;0;0;0;0;0;0;1;0
200361;8,47E+12;CAMALEON BASE ALISADORA 1 ENVASE 6 ml;2;0;0;1;0;0;0;1;0;0;0;0;0
198873;8,47E+12;CAMALEON BASIC COLOURSTICK FLUOR 1 ENVASE 4 g COLOR FUCSIA;3;0;0;1;0;0;1;1;0;0;0;0;0
198872;8,47E+12;CAMALEON BASIC COLOURSTICK FLUOR 1 ENVASE 4 g COLOR ROSA;2;0;0;-1;0;0;1;2;0;0;0;0;0
198874;8,47E+12;CAMALEON BASIC COLOURSTICK FLUOR FERRARI 1 ENVASE 4 g;4;1;0;0;0;0;0;1;1;1;0;0;0
198868;8,47E+12;CAMALEON BASIC COLOURSTICK METALLIC 1 ENVASE 4 g CEREZA;6;0;0;2;0;0;0;1;0;3;0;0;0
198867;8,47E+12;CAMALEON BASIC COLOURSTICK METALLIC 1 ENVASE 4 g COLOR ARENA;1;0;0;0;0;0;0;0;0;1;0;0;0
198870;8,47E+12;CAMALEON BASIC COLOURSTICK METALLIC 1 ENVASE 4 g COLOR MORADO;3;0;0;0;0;0;0;0;1;2;0;0;0
198871;8,47E+12;CAMALEON BASIC COLOURSTICK METALLIC 1 ENVASE 4 g COLOR ROJO;3;1;0;0;0;1;0;0;1;0;0;0;0
198869;8,47E+12;CAMALEON BASIC COLOURSTICK METALLIC 1 ENVASE 4 g FRESA;4;0;0;1;0;0;0;0;1;2;0;0;0
208556;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR AMARILLO PASTEL;1;0;0;1;0;0;0;0;0;0;0;0;0
208557;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR AZUL CIELO;1;0;0;0;0;0;0;0;1;0;0;0;0
210201;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR AZUL KLEIN;2;0;0;0;1;0;1;0;0;0;0;0;0
200371;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR BERENJENA;2;0;0;0;0;0;0;1;0;1;0;0;0
200366;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR BORGO�A;3;0;1;0;0;1;1;0;0;0;0;0;0
200370;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR CORAL;2;0;0;0;0;0;0;1;0;1;0;0;0
200368;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR FUCSIA;2;0;0;0;0;0;0;1;1;0;0;0;0
208555;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR MORADO LAVANDA;1;0;0;0;0;0;0;0;0;1;0;0;0
200365;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR NUDE;3;0;0;0;0;0;1;0;1;1;0;0;0
200364;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR ROJO;2;0;0;0;1;0;0;1;0;0;0;0;0
200367;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR ROSA;1;0;1;0;0;0;0;0;0;0;0;0;0
210202;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR VERDE FOREST;1;0;0;0;0;0;0;1;0;0;0;0;0
208558;8,47E+12;CAMALEON ESMALTE DE U�AS 1 ENVASE 6 ml COLOR VERDE MINT;1;0;0;0;0;0;0;0;0;1;0;0;0
178776;8,47E+12;CAMALEON MAGIC COLOUR AMARILLO;5;0;0;1;0;1;2;1;0;0;0;0;0
189608;8,47E+12;CAMALEON MAGIC COLOUR CORAL;2;0;1;0;0;0;0;0;1;0;0;0;0
178777;8,47E+12;CAMALEON MAGIC COLOUR GRIS;3;0;0;1;1;0;0;1;0;0;0;0;0
189607;8,47E+12;CAMALEON MAGIC COLOUR MELOC;2;0;0;1;0;0;0;0;0;1;0;0;0
178774;8,47E+12;CAMALEON MAGIC COLOUR ROJO;8;0;0;1;2;2;2;1;0;0;0;0;0
216830;8,47E+12;CAMALEON MAGIC COLOURSTI AZUL;5;0;1;0;1;1;1;0;1;0;0;0;0
216829;8,47E+12;CAMALEON MAGIC COLOURSTIS LIMA;1;0;0;0;0;0;1;0;0;0;0;0;0
200359;8,47E+12;CAMALEON TOP COAT 1 ENVASE 6 ml;4;0;0;0;2;0;1;1;0;0;0;0;0
172349;8,47E+12;CANASTILLA SUAVIN COS INF NI�O;1;1;0;0;0;0;0;0;0;0;0;0;0
SUAVI750;SUAVI750;CANASTILLA SUAVINEX PETITE SURPRISE LOCION HIDRATANTE + GEL-CHAMPU + MANOPLA AZUL;1;0;0;0;0;1;0;0;0;0;0;0;0
688730;8,47001E+12;CANDESARTAN CINFA 8MG 28COM;1;0;0;0;0;0;0;1;0;0;0;0;0
696619;8,47001E+12;CANDESARTAN HCTZNOR3225MG28;12;2;0;1;2;1;1;1;0;1;1;1;1
684642;8,47001E+12;CANDESARTAN NORMON 16 MG 28COM;13;1;0;1;2;1;0;2;2;1;1;1;1
684643;8,47001E+12;CANDESARTAN NORMON 32 MG 28COM;2;0;1;0;0;1;0;0;0;0;0;0;0
684641;8,47001E+12;CANDESARTAN NORMON 8MG 28 COM;2;0;1;0;1;0;0;0;0;0;0;0;0
CAND0786;CAND0786;CANDISAN 90 CAPS;1;0;0;0;0;0;0;0;0;0;0;0;1
193437;8,47E+12;CANESCARE PROTECT 150 ML;2;0;0;0;1;1;0;0;0;0;0;0;0
683659;8,47001E+12;CANESPIE BIFONAZOL CR 20GR;1;1;0;0;0;0;0;0;0;0;0;0;0
725036;8,47001E+12;CANESTEN CREMA 30 GR;7;1;1;1;2;0;1;1;0;0;0;0;0
199235;8,47E+12;CANNABIBEN GEL CON CBD 60 ML;1;0;0;0;0;0;1;0;0;0;0;0;0
661490;8,47001E+12;CAPENON 40 MG5 MG 28 COMP;1;0;0;0;0;0;0;0;0;0;0;0;1
654843;8,47001E+12;CAPENON HCT 401012.5MG 28CO;10;0;0;1;1;1;2;1;1;0;1;1;1
898254;8,47001E+12;CAPSICIN CREMA 30 GRAMOS;12;1;1;2;0;0;1;0;2;0;2;1;2
660425;8,47001E+12;CAPSICIN CREMA 50 G;20;3;1;1;1;1;1;2;3;3;1;0;3
680157;8,47001E+12;CAPTOPRIL NORMON 25 MG 60 COM;8;0;0;0;2;0;0;2;0;1;0;3;0
823203;8,47001E+12;CAPTOPRIL+HCTZ NORM 50MG 30COM;3;1;1;1;0;0;0;0;0;0;0;0;0
688658;8,47001E+12;CAPTOR 37.5325 MG 60 COM;4;1;1;0;1;0;1;0;0;0;0;0;0
658531;8,47001E+12;CAPTOR SIMPLEX 50 MG 60 CAPS;6;0;0;0;0;0;0;0;2;1;0;0;3
FARL5932;FARL5932;CARAM F SWEETSIN LIMON SA 20U;3;1;0;0;2;0;0;0;0;0;0;0;0
FARL4173;FARL4173;CARAM SWEET NARANJA VITC 10;18;1;0;0;1;1;3;3;0;2;2;1;4
FARL5925;FARL5925;CARAM SWEETSIN MANZAN SA 20 U;33;1;2;0;4;4;4;4;4;2;1;3;4
FARL5949;FARL5949;CARAM SWEETSIN MENTA SA 20 U;2;1;0;0;1;0;0;0;0;0;0;0;0
FARL2756;FARL2756;CARAM SWETSIN MIEL-PROP SA20U;7;2;2;0;3;0;0;0;0;0;0;0;0
794834;8,47001E+12;CARBAMAZEPINA NORMON 200MG 50C;1;0;0;1;0;0;0;0;0;0;0;0;0
675132;8,47001E+12;CARBAMAZEPINA NORMON 400MG 100;2;0;0;0;0;0;0;0;1;0;0;0;1
999730;8,47001E+12;CARBOCAL D 60 COMP MAST;4;0;0;1;2;0;0;1;0;0;0;0;0
186280;8,47E+12;CARBON BAMBU MASCARILLA 50ML;1;0;0;0;0;0;0;0;1;0;0;0;0
801324;8,47001E+12;CARDURAN NEO 4 MG 28 COMP;50;3;1;2;3;3;3;4;7;5;5;6;8
716886;8,47001E+12;CARDYL 10 MG 28 COMP;33;1;2;1;5;4;4;2;2;4;1;3;4
667873;8,47001E+12;CARDYL 20 MG 28 COMP;22;1;2;4;2;3;1;2;1;3;1;1;1
172527;8,47E+12;CARE+ CR ADHESIVA STADA POST75;3;0;2;1;0;0;0;0;0;0;0;0;0
957753;8,47001E+12;CARIBAN 24 CAPS;16;1;0;1;0;0;0;3;4;1;1;3;2
199954;8,47E+12;CARMEX BALS LAB FRESA TUBO10GR;1;0;0;0;0;0;0;0;0;0;0;0;1
346526;8,47E+12;CARMEX BALS LAB TARR CEREZA7.5;5;0;0;1;0;0;2;0;0;1;0;0;1
206997;8,47E+12;CARMEX BALS LAB TARR SANDIA7.5;7;0;0;0;0;0;1;0;1;1;1;2;1
200196;8,47E+12;CARMEX BALS LAB TUBO 10 GR;8;0;0;0;0;0;0;0;0;2;0;3;3
CARM1159;CARM1159;CARMEX CLASSIC MR WONDERFUL BALSAMO LABIAL 1 TARRITO 7, 5 g;8;0;1;0;0;0;1;0;0;0;1;2;3
210648;8,47E+12;CARMEX MINIS TRIPLO TUBO;6;0;0;0;0;0;0;1;2;1;2;0;0
209915;8,47E+12;CARMEX NATURALLY F ROJOS STICK;4;0;0;0;0;0;0;2;0;1;0;1;0
209917;8,47E+12;CARMEX NATURALLY SANDIA STICK;8;0;1;1;1;2;0;0;2;0;1;0;0
189103;8,47E+12;CARMEX STICK LAB FRESA 4.25G;12;0;0;0;1;0;2;1;0;0;3;3;2
175050;8,47E+12;CARMEX STICK LAB LIMA 4.25G;2;1;0;0;0;0;0;0;0;0;0;1;0
301609;8,47E+12;CARMEX STICK LABIAL 15+ 4.2GR;9;0;0;1;1;1;0;2;2;0;0;0;2
200410;8,47E+12;CARMEX TARRO 7.5 GR;10;0;2;1;2;1;1;0;1;0;1;1;0
159588;8,47E+12;CARNATION APOSITO CALLOS 10 UN;11;0;0;1;0;0;1;3;3;1;2;0;0
962373;8,47001E+12;CARNICOR 30% SOLU 40 ML I;4;0;0;0;0;0;0;4;0;0;0;0;0
178922;8,47E+12;CARTICURE PLUS 30 SOBRES;7;1;0;0;0;0;1;1;0;1;1;1;1
658241;8,47001E+12;CARVEDILOL CINFA 6.25MG 28COMP;2;0;0;0;0;0;0;0;1;1;0;0;0
659188;8,47001E+12;CARVEDILOL NORMON 25MG 28CO;2;1;0;0;0;0;0;0;1;0;0;0;0
659187;8,47001E+12;CARVEDILOL NORMON 6.25MG 28CO;34;5;2;6;3;2;5;2;4;2;0;1;2
