Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470008550494;855049;SUPO GLIC VILARDELL AD 18 UN;1;5,04;5,04;7,45;7,45;4,00;01/12/2030;
8470001921932;192193;SUPRADYN ENERGY 50+ ANTIOX90CO;1;22,57;22,57;36,95;36,95;10,00;01/01/2027;
8470002190177;219017;SUPRADYN ENERGY DOBLE ACCION;3;9,50;28,50;44,85;14,95;10,00;01/04/2027;
8470002064829;206482;SUPRADYN ENERGY EFERV 15 COMP;1;8,76;8,76;12,95;12,95;10,00;01/09/2026;
8470001667915;166791;SUPRADYN ENERGY EXTRA 30 COMP;1;9,96;9,96;15,95;15,95;10,00;01/12/2026;
8470001770585;177058;SUPRADYN ENERGY EXTRA 60 COMP;1;19,13;19,13;28,95;28,95;10,00;01/04/2028;
8470001758248;175824;SUPRADYN GAMA 50+ ANTIOX 30CO;1;9,51;9,51;14,95;14,95;10,00;01/08/2027;
8470008173532;817353;SUTRIL 5 MG 30 COMP;1;1,82;1,82;2,65;2,65;4,00;01/09/2028;
8470003025133;302513;SUTURA STERI-STRIP 3M 6X38;1;3,07;3,07;4,95;4,95;10,00;01/02/2028;
8470007233077;723307;SYMBICORT 1604.5MCG 120 DOS;2;27,19;54,38;79,12;39,56;4,00;01/09/2027;
8470007233138;723313;SYMBICORT FORTE TURBUH 60 DO;1;26,98;26,98;39,56;39,56;4,00;01/04/2027;
8470007233114;723311;SYMBICORT TURBUHA 804.5 120DO;1;26,98;26,98;39,56;39,56;4,00;01/10/2027;
8470007233145;723314;SYMBICORT TURBUHAL 160 120 DO;1;26,98;26,98;39,56;39,56;4,00;01/08/2028;
8470001566522;156652;SYMBIORAN 2.5 G 12 SOBRES;1;10,68;10,68;15,95;15,95;10,00;01/04/2027;
8470008311231;831123;SYNALAR NASAL NEBUL 15 ML;1;5,53;5,53;8,10;8,10;4,00;31/01/2027;
