COD_N1,COD_N2,COD_N3,COD_N4
M,M01,M01A,M01AG
M,M01,M01A,M01AH
M,M01,M01A,M01AX
M,M01,M01B,M01BA
M,M01,M01B,M01BX
M,M01,M01C,M01CB
M,M01,M01C,M01CC
M,M01,M01C,M01CX
M,M02,M02A,M02AA
M,M02,M02A,M02AB
M,M02,M02A,M02AC
M,M02,M02A,M02AX
M,M03,M03A,M03AB
M,M03,M03A,M03AC
M,M03,M03A,M03AX
M,M04,M04A,M04AA
M,M04,M04A,M04AB
M,M04,M04A,M04AC
M,M05,M05B,M05BA
M,M05,M05B,M05BB
M,M05,M05B,M05BC
M,M05,M05B,M05BX
M,M09,M09A,M09AB
M,M09,M09A,M09AX
N,N01,N01A,N01AB
N,N01,N01A,N01AF
N,N01,N01A,N01AH
N,N01,N01A,N01AX
N,N01,N01B,N01BA
N,N01,N01B,N01BB
N,N01,N01B,N01BX
N,N02,N02A,N02AA
N,N02,N02A,N02AB
N,N02,N02A,N02AC
N,N02,N02A,N02AD
N,N02,N02A,N02AE
N,N02,N02A,N02AF
N,N02,N02A,N02AJ
N,N02,N02A,N02AX
N,N02,N02B,N02BA
N,N02,N02B,N02BB
N,N02,N02B,N02BE
N,N02,N02B,N02BF
N,N02,N02B,N02BG
N,N02,N02C,N02CA
N,N02,N02C,N02CC
N,N02,N02C,N02CD
N,N02,N02C,N02CX
N,N03,N03A,N03AA
N,N03,N03A,N03AB
N,N03,N03A,N03AD
N,N03,N03A,N03AE
N,N03,N03A,N03AF
N,N03,N03A,N03AG
N,N03,N03A,N03AX
N,N04,N04A,N04AA
N,N04,N04B,N04BA
N,N04,N04B,N04BB
N,N04,N04B,N04BC
N,N04,N04B,N04BD
N,N04,N04B,N04BX
N,N05,N05A,N05AA
N,N05,N05A,N05AB
N,N05,N05A,N05AC
N,N05,N05A,N05AD
N,N05,N05A,N05AE
N,N05,N05A,N05AF
N,N05,N05A,N05AG
N,N05,N05A,N05AH
N,N05,N05A,N05AL
N,N05,N05A,N05AN
N,N05,N05A,N05AX
N,N05,N05B,N05BA
N,N05,N05B,N05BB
