COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
M05BB,"Bifosfonatos, combinaciones",M05B,Agentes que afectan la estructura ósea y la mineralización,M05,Preparados para el tratamiento de enfermedades óseas,M,Sistema musculoesquelético
M05BC,Proteínas morfogenéticas óseas,M05B,Agentes que afectan la estructura ósea y la mineralización,M05,Preparados para el tratamiento de enfermedades óseas,M,Sistema musculoesquelético
M05BX,Otros preparados que influyen sobre la mineralización,M05B,Agentes que afectan la estructura ósea y la mineralización,M05,Preparados para el tratamiento de enfermedades óseas,M,Sistema musculoesquelético
M09AB,Enzimas,M09A,Otros medicamentos para desórdenes del sistema musculoesquelético,M09,Otros medicamentos para desórdenes del sistema musculoesquelético,M,Sistema musculoesquelético
M09AX,Otros fármacos para desórdenes del sistema musculoesquelético,M09A,Otros medicamentos para desórdenes del sistema musculoesquelético,M09,Otros medicamentos para desórdenes del sistema musculoesquelético,M,Sistema musculoesquelético
N01AB,Hidrocarburos halogenados,N01A,Anestésicos generales,N01,Anestésicos,N,Sistema nervioso
N01AF,"Barbitúricos, monofármacos",N01A,Anestésicos generales,N01,Anestésicos,N,Sistema nervioso
N01AH,Anestésicos opioides,N01A,Anestésicos generales,N01,Anestésicos,N,Sistema nervioso
N01AX,Otros anestésicos generales,N01A,Anestésicos generales,N01,Anestésicos,N,Sistema nervioso
N01BA,Ésteres del ácido aminobenzoico,N01B,Anestésicos locales,N01,Anestésicos,N,Sistema nervioso
N01BB,Amidas,N01B,Anestésicos locales,N01,Anestésicos,N,Sistema nervioso
N01BX,Otros anestésicos locales,N01B,Anestésicos locales,N01,Anestésicos,N,Sistema nervioso
N02AA,Alcaloides naturales del opio,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02AB,Derivados de fenilpiperidina,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02AC,Derivados de difenilpropilamina,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02AD,Derivados de benzomorfano,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02AE,Derivados de oripavina,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02AF,Derivados de morfinano,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02AJ,Opioides combinados con analgésicos no opioides,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02AX,Otros opioides,N02A,Opioides,N02,Analgésicos,N,Sistema nervioso
N02BA,Salicílico ácido y derivados,N02B,Otros analgésicos y antipiréticos,N02,Analgésicos,N,Sistema nervioso
N02BB,Pirazolonas,N02B,Otros analgésicos y antipiréticos,N02,Analgésicos,N,Sistema nervioso
N02BE,Anilidas,N02B,Otros analgésicos y antipiréticos,N02,Analgésicos,N,Sistema nervioso
N02BF,Gabapentinoides,N02B,Otros analgésicos y antipiréticos,N02,Analgésicos,N,Sistema nervioso
N02BG,Otros analgésicos y antipiréticos,N02B,Otros analgésicos y antipiréticos,N02,Analgésicos,N,Sistema nervioso
N02CA,Alcaloides del ergot,N02C,Antimigrañosos,N02,Analgésicos,N,Sistema nervioso
N02CC,Agonistas selectivos de receptores 5-HT1,N02C,Antimigrañosos,N02,Analgésicos,N,Sistema nervioso
N02CD,Antagonistas del péptido relacionado con el gen de la calcitonina (CGRP),N02C,Antimigrañosos,N02,Analgésicos,N,Sistema nervioso
N02CX,Otros preparados antimigrañosos,N02C,Antimigrañosos,N02,Analgésicos,N,Sistema nervioso
N03AA,Barbitúricos y derivados,N03A,Antiepilépticos,N03,Antiepilépticos,N,Sistema nervioso
N03AB,Derivados hidantoínicos,N03A,Antiepilépticos,N03,Antiepilépticos,N,Sistema nervioso
N03AD,Derivados de succinimida,N03A,Antiepilépticos,N03,Antiepilépticos,N,Sistema nervioso
N03AE,Derivados de benzodiazepina,N03A,Antiepilépticos,N03,Antiepilépticos,N,Sistema nervioso
N03AF,Derivados de carboxamida,N03A,Antiepilépticos,N03,Antiepilépticos,N,Sistema nervioso
N03AG,Derivados de ácidos grasos,N03A,Antiepilépticos,N03,Antiepilépticos,N,Sistema nervioso
N03AX,Otros antiepilépticos,N03A,Antiepilépticos,N03,Antiepilépticos,N,Sistema nervioso
N04AA,Aminas terciarias,N04A,Agentes anticolinérgicos,N04,Antiparkinsonianos,N,Sistema nervioso
N04BA,Dopa y derivados de dopa,N04B,Agentes dopaminérgicos,N04,Antiparkinsonianos,N,Sistema nervioso
N04BB,Derivados de adamantano,N04B,Agentes dopaminérgicos,N04,Antiparkinsonianos,N,Sistema nervioso
N04BC,Agonistas de dopamina,N04B,Agentes dopaminérgicos,N04,Antiparkinsonianos,N,Sistema nervioso
N04BD,Inhibidores monoaminooxidasa tipo b,N04B,Agentes dopaminérgicos,N04,Antiparkinsonianos,N,Sistema nervioso
N04BX,Otros agentes dopaminérgicos,N04B,Agentes dopaminérgicos,N04,Antiparkinsonianos,N,Sistema nervioso
N05AA,Fenotiazinas con cadena lateral alifática,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AB,Fenotiazinas con estructura piperazínica,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AC,Fenotiazinas con estructura piperidínica,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AD,Derivados de butirofenona,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AE,Derivados de indol,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AF,Derivados de tioxanteno,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AG,Derivados de difenilbutilpiperidina,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AH,"Diazepinas, oxazepinas, tiazepinas y oxepinas",N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AL,Benzamidas,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AN,Litio,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05AX,Otros antipsicóticos,N05A,Antipsicóticos,N05,Psicolépticos,N,Sistema nervioso
N05BA,Derivados de benzodiazepina,N05B,Ansiolíticos,N05,Psicolépticos,N,Sistema nervioso
N05BB,Derivados de difenilmetano,N05B,Ansiolíticos,N05,Psicolépticos,N,Sistema nervioso
N05BC,Carbamatos,N05B,Ansiolíticos,N05,Psicolépticos,N,Sistema nervioso
N05BE,Derivados de azaspirodecanodiona,N05B,Ansiolíticos,N05,Psicolépticos,N,Sistema nervioso
N05BX,Otros ansiolíticos,N05B,Ansiolíticos,N05,Psicolépticos,N,Sistema nervioso
N05CA,"Barbitúricos, monofármacos",N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N05CB,"Barbitúricos, asociaciones",N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N05CD,Derivados de benzodiazepina,N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N05CF,Fármacos relacionados con benzodiazepinas,N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N05CH,Agonistas del receptor de melatonina,N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N05CJ,Antagonistas de los receptores de la orexina,N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N05CM,Otros hipnóticos y sedantes,N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N05CX,"Hipnóticos y sedantes en asociación, excl. barbitúricos",N05C,Hipnóticos y sedantes,N05,Psicolépticos,N,Sistema nervioso
N06AA,Inhibidores no selectivos de recaptación de monoaminas,N06A,Antidepresivos,N06,Psicoanalépticos,N,Sistema nervioso
N06AB,Inhibidores selectivos de recaptación de serotonina,N06A,Antidepresivos,N06,Psicoanalépticos,N,Sistema nervioso
N06AF,"Inhibidores de la monoaminooxidasa, no selectivos",N06A,Antidepresivos,N06,Psicoanalépticos,N,Sistema nervioso
N06AG,Inhibidores de la monoaminooxidasa tipo A,N06A,Antidepresivos,N06,Psicoanalépticos,N,Sistema nervioso
N06AX,Otros antidepresivos,N06A,Antidepresivos,N06,Psicoanalépticos,N,Sistema nervioso
N06BA,Simpaticomiméticos de acción central,N06B,"Psicoestimulantes, agentes usados para trastorno déficit de atención e hiperactividad y nootrópicos",N06,Psicoanalépticos,N,Sistema nervioso
N06BC,Derivados de la xantina,N06B,"Psicoestimulantes, agentes usados para trastorno déficit de atención e hiperactividad y nootrópicos",N06,Psicoanalépticos,N,Sistema nervioso
N06BX,Otros psicoestimulantes y nootrópicos,N06B,"Psicoestimulantes, agentes usados para trastorno déficit de atención e hiperactividad y nootrópicos",N06,Psicoanalépticos,N,Sistema nervioso
N06CA,Antidepresivos en asociación con psicolépticos,N06C,Psicolépticos y psicoanalépticos en asociación,N06,Psicoanalépticos,N,Sistema nervioso
N06CB,Psicoestimulantes en asociación con psicolépticos,N06C,Psicolépticos y psicoanalépticos en asociación,N06,Psicoanalépticos,N,Sistema nervioso
N06DA,Anticolinesterasas,N06D,Fármacos anti-demencia,N06,Psicoanalépticos,N,Sistema nervioso
N06DX,Otros fármacos anti-demencia,N06D,Fármacos anti-demencia,N06,Psicoanalépticos,N,Sistema nervioso
N07AA,Inhibidores de la acetilcolinesterasa,N07A,Parasimpaticomiméticos,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
N07AB,Ésteres de colina,N07A,Parasimpaticomiméticos,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
N07AX,Otros parasimpaticomiméticos,N07A,Parasimpaticomiméticos,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
N07BA,Fármacos usados en dependencia a nicotina,N07B,Fármacos usados en desórdenes adictivos,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
N07BB,Fármacos usados en dependencia a alcohol,N07B,Fármacos usados en desórdenes adictivos,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
N07BC,Fármacos usados en dependencia a opioides,N07B,Fármacos usados en desórdenes adictivos,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
N07CA,Preparados antivértigo,N07C,Preparados antivértigo,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
N07XX,Otros fármacos que actúan sobre el sistema nervioso,N07X,Otros fármacos que actúan sobre el sistema nervioso,N07,Otros fármacos activos sobre el sistema nervioso,N,Sistema nervioso
P01AA,Derivados de hidroxiquinolina,P01A,Agentes contra amebiasis y otras enfermedades por protozoarios,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01AB,Derivados de nitroimidazol,P01A,Agentes contra amebiasis y otras enfermedades por protozoarios,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01AC,Derivados de dicloroacetamida,P01A,Agentes contra amebiasis y otras enfermedades por protozoarios,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01AX,Otros agentes contra amebiasis y otras enfermedades por protozoarios,P01A,Agentes contra amebiasis y otras enfermedades por protozoarios,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01BA,Aminoquinolinas,P01B,Antipalúdicos,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01BB,Biguanidas,P01B,Antipalúdicos,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01BC,Metanolquinolinas,P01B,Antipalúdicos,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01BD,Diaminopirimidinas,P01B,Antipalúdicos,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01BE,"Artemisinina y derivados, monofármacos",P01B,Antipalúdicos,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01BF,"Artemisinina y derivados, combinaciones",P01B,Antipalúdicos,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01CA,Derivados de nitroimidazol,P01C,Agentes antileishmaniosis y antitripanosomiasis,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01CB,Compuestos de antimonio,P01C,Agentes antileishmaniosis y antitripanosomiasis,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01CC,Derivados de nitrofurano,P01C,Agentes antileishmaniosis y antitripanosomiasis,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P01CX,Otros agentes antileishmaniosis y antitripanosomiasis,P01C,Agentes antileishmaniosis y antitripanosomiasis,P01,Antiprotozoarios,P,"Antiparasitarios, insecticidas y repelentes"
P02BA,Derivados de quinolina y sustancias relacionadas,P02B,Antitrematodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P02CA,Derivados de benzimidazol,P02C,Agentes antinematodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P02CB,Piperazina y derivados,P02C,Agentes antinematodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P02CC,Derivados de tetrahidropirimidina,P02C,Agentes antinematodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P02CE,Derivados de imidazotiazol,P02C,Agentes antinematodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P02CF,Avermectinas,P02C,Agentes antinematodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P02CX,Otros antinematodos,P02C,Agentes antinematodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P02DX,Otros anticestodos,P02D,Anticestodos,P02,Antihelmínticos,P,"Antiparasitarios, insecticidas y repelentes"
P03AA,Productos que contienen azufre,P03A,"Ectoparasiticidas, incl. escabicidas",P03,"Ectoparasiticidas, incl. escabicidas, insecticidas y repelentes",P,"Antiparasitarios, insecticidas y repelentes"
P03AB,Productos que contienen cloro,P03A,"Ectoparasiticidas, incl. escabicidas",P03,"Ectoparasiticidas, incl. escabicidas, insecticidas y repelentes",P,"Antiparasitarios, insecticidas y repelentes"
P03AC,"Piretrinas, incl. compuestos sintéticos",P03A,"Ectoparasiticidas, incl. escabicidas",P03,"Ectoparasiticidas, incl. escabicidas, insecticidas y repelentes",P,"Antiparasitarios, insecticidas y repelentes"
P03AX,"Otros ectoparasiticidas, incl. escabicidas",P03A,"Ectoparasiticidas, incl. escabicidas",P03,"Ectoparasiticidas, incl. escabicidas, insecticidas y repelentes",P,"Antiparasitarios, insecticidas y repelentes"
R01AA,"Simpaticomiméticos, monofármacos",R01A,Descongestionantes nasales y otras preparaciones nasales para uso tópico,R01,Preparaciones nasales,R,Sistema respiratorio
R01AB,"Simpaticomiméticos, asociaciones excl. corticosteroides",R01A,Descongestionantes nasales y otras preparaciones nasales para uso tópico,R01,Preparaciones nasales,R,Sistema respiratorio
R01AC,"Antialérgicos, excl. corticosteroides",R01A,Descongestionantes nasales y otras preparaciones nasales para uso tópico,R01,Preparaciones nasales,R,Sistema respiratorio
R01AD,Corticosteroides,R01A,Descongestionantes nasales y otras preparaciones nasales para uso tópico,R01,Preparaciones nasales,R,Sistema respiratorio
R01AX,Otras preparaciones nasales,R01A,Descongestionantes nasales y otras preparaciones nasales para uso tópico,R01,Preparaciones nasales,R,Sistema respiratorio
R01BA,Simpaticomiméticos,R01B,Descongestionantes nasales para uso sistémico,R01,Preparaciones nasales,R,Sistema respiratorio
R02AA,Antisépticos,R02A,Preparados para la garganta,R02,Preparados para la garganta,R,Sistema respiratorio
R02AB,Antibióticos,R02A,Preparados para la garganta,R02,Preparados para la garganta,R,Sistema respiratorio
R02AD,Anestésicos locales,R02A,Preparados para la garganta,R02,Preparados para la garganta,R,Sistema respiratorio
R02AX,Otros preparados para la garganta,R02A,Preparados para la garganta,R02,Preparados para la garganta,R,Sistema respiratorio
R03AA,Agonistas de receptores alfa y beta-adrenérgicos,R03A,Adrenérgicos inhalatorios,R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03AC,Agonistas selectivos de receptores beta-2 adrenérgicos,R03A,Adrenérgicos inhalatorios,R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03AK,"Adrenérgicos en combinación con corticosteroides u otros agentes, excluyendo los anticolinérgicos",R03A,Adrenérgicos inhalatorios,R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03AL,Adrenérgicos en combinaciones con anticolinérgicos inc. combinaciones triples con corticosteroides,R03A,Adrenérgicos inhalatorios,R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03BA,Glucocorticoides,R03B,"Otros agentes contra padecimientos obstructivos de las vías respiratorias, inhalatorios",R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03BB,Anticolinérgicos,R03B,"Otros agentes contra padecimientos obstructivos de las vías respiratorias, inhalatorios",R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03BC,"Agentes antialérgicos, excl. corticosteroides",R03B,"Otros agentes contra padecimientos obstructivos de las vías respiratorias, inhalatorios",R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03CA,Agonistas de receptores alfa y beta-adrenérgicos,R03C,Adrenérgicos de uso sistémico,R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03CB,Agonistas no selectivos de receptores beta-adrenérgicos,R03C,Adrenérgicos de uso sistémico,R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03CC,Agonistas selectivos de receptores beta-2-adrenérgicos,R03C,Adrenérgicos de uso sistémico,R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03DA,Xantinas,R03D,"Otros agentes contra padecimientos obstructivos de las vías respiratorias, para uso sistémico",R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03DC,Antagonistas del receptor de leucotrienos,R03D,"Otros agentes contra padecimientos obstructivos de las vías respiratorias, para uso sistémico",R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R03DX,"Otros agentes contra padecimientos obstructivos de las vías aéreas, para uso sistémico",R03D,"Otros agentes contra padecimientos obstructivos de las vías respiratorias, para uso sistémico",R03,Agentes contra padecimientos obstructivos de las vías respiratorias,R,Sistema respiratorio
R05CA,Expectorantes,R05C,Expectorantes excl. asociaciones con supresores de la tos,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05CB,Mucolíticos,R05C,Expectorantes excl. asociaciones con supresores de la tos,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05CZ,Expectorantes y/o mucolíticos con antiinfecciosos,R05C,Expectorantes excl. asociaciones con supresores de la tos,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05DA,Alcaloides de opio y derivados,R05D,Supresores de la tos excl. asociaciones con expectorantes,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05DB,Otros supresores de la tos,R05D,Supresores de la tos excl. asociaciones con expectorantes,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05F P1,Carboximetil cisteína + clorfeniramina + dextrometorfano,R05F,"Supresores de la tos y expectorantes, asociaciones",R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05F P2,Dextrometorfano + fenilefrina + bromhexina,R05F,"Supresores de la tos y expectorantes, asociaciones",R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05FA,Derivados de opio y expectorantes,R05F,"Supresores de la tos y expectorantes, asociaciones",R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05FB,Otros supresores de la tos y expectorantes,R05F,"Supresores de la tos y expectorantes, asociaciones",R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05X M1,Pelargonium sidoides exto.,R05X,Otros preparados para el resfriado,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05X P6,Ibuprofeno + fenilefrina,R05X,Otros preparados para el resfriado,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05X P8,Echinacea purpurea tintura parte aérea + echinacea purpurea tintura raíz,R05X,Otros preparados para el resfriado,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R05X P9,Clorfenamina + salicilamida,R05X,Otros preparados para el resfriado,R05,Preparados para la tos y el resfriado,R,Sistema respiratorio
R06AA,Éteres aminoalquilo,R06A,Antihistamínicos para uso sistémico,R06,Antihistamínicos para uso sistémico,R,Sistema respiratorio
R06AB,Alquilaminas sustituidas,R06A,Antihistamínicos para uso sistémico,R06,Antihistamínicos para uso sistémico,R,Sistema respiratorio
R06AC,Etilendiaminas sustituidas,R06A,Antihistamínicos para uso sistémico,R06,Antihistamínicos para uso sistémico,R,Sistema respiratorio
R06AD,Derivados de fenotiazina,R06A,Antihistamínicos para uso sistémico,R06,Antihistamínicos para uso sistémico,R,Sistema respiratorio
R06AE,Derivados de piperazina,R06A,Antihistamínicos para uso sistémico,R06,Antihistamínicos para uso sistémico,R,Sistema respiratorio
R06AX,Otros antihistamínicos para uso sistémico,R06A,Antihistamínicos para uso sistémico,R06,Antihistamínicos para uso sistémico,R,Sistema respiratorio
R07AA,Surfactantes pulmonares,R07A,Otros productos para el sistema respiratorio,R07,Otros productos para el sistema respiratorio,R,Sistema respiratorio
R07AB,Estimulantes respiratorios,R07A,Otros productos para el sistema respiratorio,R07,Otros productos para el sistema respiratorio,R,Sistema respiratorio
R07AX,Otros productos para el sistema respiratorio,R07A,Otros productos para el sistema respiratorio,R07,Otros productos para el sistema respiratorio,R,Sistema respiratorio
S01AA,Antibióticos,S01A,Antiinfecciosos,S01,Oftalmológicos,S,Órganos de los sentidos
S01AB,Sulfonamidas,S01A,Antiinfecciosos,S01,Oftalmológicos,S,Órganos de los sentidos
S01AD,Antivirales,S01A,Antiinfecciosos,S01,Oftalmológicos,S,Órganos de los sentidos
S01AE,Fluoroquinolonas,S01A,Antiinfecciosos,S01,Oftalmológicos,S,Órganos de los sentidos
S01AX,Otros antiinfecciosos,S01A,Antiinfecciosos,S01,Oftalmológicos,S,Órganos de los sentidos
S01BA,"Corticosteroides, monofármacos",S01B,Agentes antiinflamatorios,S01,Oftalmológicos,S,Órganos de los sentidos
S01BB,Corticosteroides y midriáticos en asociación,S01B,Agentes antiinflamatorios,S01,Oftalmológicos,S,Órganos de los sentidos
S01BC,Antiinflamatorios no esteroideos,S01B,Agentes antiinflamatorios,S01,Oftalmológicos,S,Órganos de los sentidos
S01CA,Corticosteroides y antiinfecciosos en asociación,S01C,Antiinflamatorios y antiinfecciosos en asociación,S01,Oftalmológicos,S,Órganos de los sentidos
S01CB,"Corticosteroides, antiinfecciosos y midriáticos en asociación",S01C,Antiinflamatorios y antiinfecciosos en asociación,S01,Oftalmológicos,S,Órganos de los sentidos
S01CC,Antiinflamatorios no esteroideos y antiinfecciosos en asociación,S01C,Antiinflamatorios y antiinfecciosos en asociación,S01,Oftalmológicos,S,Órganos de los sentidos
S01EA,Simpaticomiméticos en la terapia del glaucoma,S01E,Antiglaucomatosos y mióticos,S01,Oftalmológicos,S,Órganos de los sentidos
S01EB,Parasimpaticomiméticos,S01E,Antiglaucomatosos y mióticos,S01,Oftalmológicos,S,Órganos de los sentidos
S01EC,Inhibidores de la anhidrasa carbónica,S01E,Antiglaucomatosos y mióticos,S01,Oftalmológicos,S,Órganos de los sentidos
S01ED,Betabloqueantes,S01E,Antiglaucomatosos y mióticos,S01,Oftalmológicos,S,Órganos de los sentidos
S01EE,Análogos de prostaglandinas,S01E,Antiglaucomatosos y mióticos,S01,Oftalmológicos,S,Órganos de los sentidos
S01EX,Otros preparados antiglaucomatosos,S01E,Antiglaucomatosos y mióticos,S01,Oftalmológicos,S,Órganos de los sentidos
S01FA,Anticolinérgicos,S01F,Midriáticos y ciclopléjicos,S01,Oftalmológicos,S,Órganos de los sentidos
S01FB,"Simpaticomiméticos oftalmológicos, excl. preparados antiglaucomatosos",S01F,Midriáticos y ciclopléjicos,S01,Oftalmológicos,S,Órganos de los sentidos
S01GA,Simpaticomiméticos usados como descongestivos,S01G,Descongestivos y antialérgicos,S01,Oftalmológicos,S,Órganos de los sentidos
S01GX,Otros antialérgicos,S01G,Descongestivos y antialérgicos,S01,Oftalmológicos,S,Órganos de los sentidos
S01HA,Anestésicos locales,S01H,Anestésicos locales,S01,Oftalmológicos,S,Órganos de los sentidos
S01JA,Agentes colorantes,S01J,Agentes de diagnóstico,S01,Oftalmológicos,S,Órganos de los sentidos
S01KA,Sustancias viscoelásticas,S01K,Auxiliares en cirugía,S01,Oftalmológicos,S,Órganos de los sentidos
S01LA,Agentes antineovascularización,S01L,Agentes contra desórdenes vasculares oculares,S01,Oftalmológicos,S,Órganos de los sentidos
S01XA,Otros oftalmológicos,S01X,Otros oftalmológicos,S01,Oftalmológicos,S,Órganos de los sentidos
S02AA,Antiinfecciosos,S02A,Antiinfecciosos,S02,Otológicos,S,Órganos de los sentidos
S02BA,Corticosteroides,S02B,Corticosteroides,S02,Otológicos,S,Órganos de los sentidos
S02CA,Corticosteroides y antiinfecciosos en asociación,S02C,Corticosteroides y antiinfecciosos en asociación,S02,Otológicos,S,Órganos de los sentidos
S02DA,Analgésicos y anestésicos,S02D,Otros otológicos,S02,Otológicos,S,Órganos de los sentidos
S02DC,Preparados inertes,S02D,Otros otológicos,S02,Otológicos,S,Órganos de los sentidos
S02DX,Disolventes de cerumen auricular,S02D,Otros otológicos,S02,Otológicos,S,Órganos de los sentidos
S03BA,Corticosteroides,S03B,Corticosteroides,S03,Preparados oftalmológicos y otológicos,S,Órganos de los sentidos
S03CA,Corticosteroides y antiinfecciosos en asociación,S03C,Corticosteroides y antiinfecciosos en asociación,S03,Preparados oftalmológicos y otológicos,S,Órganos de los sentidos
V01AA,Extractos alergénicos,V01A,Alérgenos,V01,Alérgenos,V,Varios
V03A P1,Aesculus hippocastanum + sabal serrulata + solidago virga-áurea,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AB,Antídotos,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AC,Quelantes del hierro,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AE,Preparados para el tratamiento de hiperpotasemia e hiperfosfatemia,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AF,Detoxificantes para tratamientos antineoplásicos,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AG,Fármacos para el tratamiento de la hipercalcemia,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AH,Fármacos para el tratamiento de la hipoglucemia,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AN,Gases medicinales,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V03AX,Otros productos terapéuticos,V03A,Todos los demás preparados terapéuticos,V03,Todos los demás preparados terapéuticos,V,Varios
V04CA,Pruebas para diabetes,V04C,Otros agentes diagnósticos,V04,Agentes diagnósticos,V,Varios
V04CD,Pruebas para función pituitaria,V04C,Otros agentes diagnósticos,V04,Agentes diagnósticos,V,Varios
V04CF,Diagnóstico de tuberculosis,V04C,Otros agentes diagnósticos,V04,Agentes diagnósticos,V,Varios
V04CJ,Pruebas para función tiroidea,V04C,Otros agentes diagnósticos,V04,Agentes diagnósticos,V,Varios
V04CL,Pruebas para enfermedades alérgicas,V04C,Otros agentes diagnósticos,V04,Agentes diagnósticos,V,Varios
