COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
B01AF,Inhibidores directos del Factor Xa,B01A,Agentes antitrombóticos,B01,Agentes antitrombóticos,B,Sangre y órganos hematopoyéticos
B01AX,Otros agentes antitrombóticos,B01A,Agentes antitrombóticos,B01,Agentes antitrombóticos,B,Sangre y órganos hematopoyéticos
B02AA,Aminoácidos,B02A,Antifibrinolíticos,B02,Antihemorrágicos,B,Sangre y órganos hematopoyéticos
B02AB,Inhibidores de proteinasa,B02A,Antifibrinolíticos,B02,Antihemorrágicos,B,Sangre y órganos hematopoyéticos
B02BA,Vitamina K,B02B,Vitamina K y otros hemostáticos,B02,Antihemorrágicos,B,Sangre y órganos hematopoyéticos
B02BB,Fibrinógeno,B02B,Vitamina K y otros hemostáticos,B02,Antihemorrágicos,B,Sangre y órganos hematopoyéticos
B02BC,Hemostáticos locales,B02B,Vitamina K y otros hemostáticos,B02,Antihemorrágicos,B,Sangre y órganos hematopoyéticos
B02BD,Factores de coagulación sanguínea,B02B,Vitamina K y otros hemostáticos,B02,Antihemorrágicos,B,Sangre y órganos hematopoyéticos
B02BX,Otros hemostáticos sistémicos,B02B,Vitamina K y otros hemostáticos,B02,Antihemorrágicos,B,Sangre y órganos hematopoyéticos
B03A M2,Hierro aminoquelado,B03A,Preparados con hierro,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03A M3,Carbonilo de hierro,B03A,Preparados con hierro,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03AA,"Hierro bivalente, preparados orales",B03A,Preparados con hierro,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03AB,"Hierro trivalente, preparados orales",B03A,Preparados con hierro,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03AC,"Hierro, preparados parenterales",B03A,Preparados con hierro,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03AD,Hierro en asociación con fólico ácido,B03A,Preparados con hierro,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03AE,Hierro en otras asociaciones,B03A,Preparados con hierro,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03BA,Vitamina B12 (cianocobalamina y derivados),B03B,Vitamina B12 y fólico ácido,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03BB,Fólico ácido y derivados,B03B,Vitamina B12 y fólico ácido,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B03XA,Otros preparados antianémicos,B03X,Otros preparados antianémicos,B03,Preparados antianémicos,B,Sangre y órganos hematopoyéticos
B05AA,Sustitutos de sangre y fracciones proteicas plasmáticas,B05A,Sangre y sustancias relacionadas,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05BA,Soluciones para nutrición parenteral,B05B,Soluciones IV,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05BB,Soluciones que afectan al equilibrio electrolítico,B05B,Soluciones IV,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05BC,Soluciones que producen diuresis osmótica,B05B,Soluciones IV,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05CX,Otras soluciones de irrigación,B05C,Soluciones de irrigación,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05DA,Soluciones isotónicas,B05D,Soluciones para diálisis peritoneal,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05DB,Soluciones hipertónicas,B05D,Soluciones para diálisis peritoneal,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05XA,Soluciones electrolíticas,B05X,Aditivos para soluciones IV,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05XB,Aminoácidos,B05X,Aditivos para soluciones IV,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05XC,Vitaminas,B05X,Aditivos para soluciones IV,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05ZA,Concentrados para hemodiálisis,B05Z,Soluciones para hemodiálisis y hemofiltrados,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B05ZB,Hemofiltrados,B05Z,Soluciones para hemodiálisis y hemofiltrados,B05,Sustitutos de sangre y soluciones para perfusión,B,Sangre y órganos hematopoyéticos
B06AA,Enzimas,B06A,Otros agentes hematológicos,B06,Otros agentes hematológicos,B,Sangre y órganos hematopoyéticos
B06AB,Productos hemo,B06A,Otros agentes hematológicos,B06,Otros agentes hematológicos,B,Sangre y órganos hematopoyéticos
B06AC,Fármacos usados en el angioedema hereditario,B06A,Otros agentes hematológicos,B06,Otros agentes hematológicos,B,Sangre y órganos hematopoyéticos
B06AX,Otros agentes hematológicos,B06A,Otros agentes hematológicos,B06,Otros agentes hematológicos,B,Sangre y órganos hematopoyéticos
C01AA,Glucósidos digitálicos,C01A,Glucósidos cardíacos,C01,Terapia cardíaca,C,Sistema cardiovascular
C01BA,"Antiarrítmicos, clase IA",C01B,"Antiarrítmicos, clase I y III",C01,Terapia cardíaca,C,Sistema cardiovascular
C01BB,"Antiarrítmicos, clase IB",C01B,"Antiarrítmicos, clase I y III",C01,Terapia cardíaca,C,Sistema cardiovascular
C01BC,"Antiarrítmicos, clase IC",C01B,"Antiarrítmicos, clase I y III",C01,Terapia cardíaca,C,Sistema cardiovascular
C01BD,"Antiarrítmicos, clase III",C01B,"Antiarrítmicos, clase I y III",C01,Terapia cardíaca,C,Sistema cardiovascular
C01BG,Otros antiarrítmicos clase I y III,C01B,"Antiarrítmicos, clase I y III",C01,Terapia cardíaca,C,Sistema cardiovascular
C01CA,Agentes adrenérgicos y dopaminérgicos,C01C,Estimulantes cardíacos excl. glucósidos cardíacos,C01,Terapia cardíaca,C,Sistema cardiovascular
C01CE,Inhibidores de fosfodiesterasa,C01C,Estimulantes cardíacos excl. glucósidos cardíacos,C01,Terapia cardíaca,C,Sistema cardiovascular
C01CX,Otros estimulantes cardiacos,C01C,Estimulantes cardíacos excl. glucósidos cardíacos,C01,Terapia cardíaca,C,Sistema cardiovascular
C01DA,Nitratos orgánicos,C01D,Vasodilatadores usados en enfermedades cardiacas,C01,Terapia cardíaca,C,Sistema cardiovascular
C01DX,Otros vasodilatadores usados en enfermedades cardiacas,C01D,Vasodilatadores usados en enfermedades cardiacas,C01,Terapia cardíaca,C,Sistema cardiovascular
C01EA,Prostaglandinas,C01E,Otros preparados cardiacos,C01,Terapia cardíaca,C,Sistema cardiovascular
C01EB,Otros preparados cardiacos,C01E,Otros preparados cardiacos,C01,Terapia cardíaca,C,Sistema cardiovascular
C02AB,Metildopa,C02A,Antiadrenérgicos de acción central,C02,Antihipertensivos,C,Sistema cardiovascular
C02AC,Agonistas del receptor de imidazolidina,C02A,Antiadrenérgicos de acción central,C02,Antihipertensivos,C,Sistema cardiovascular
C02CA,Bloqueantes de receptores alfa-adrenérgicos,C02C,Agentes antiadrenérgicos de acción periférica,C02,Antihipertensivos,C,Sistema cardiovascular
C02DA,Derivados tiazídicos,C02D,Agentes que actúan sobre el músculo liso arteriolar,C02,Antihipertensivos,C,Sistema cardiovascular
C02DB,Derivados hidrazinoftalazínicos,C02D,Agentes que actúan sobre el músculo liso arteriolar,C02,Antihipertensivos,C,Sistema cardiovascular
C02DC,Derivados de pirimidina,C02D,Agentes que actúan sobre el músculo liso arteriolar,C02,Antihipertensivos,C,Sistema cardiovascular
C02DD,Derivados de nitroferricianuro,C02D,Agentes que actúan sobre el músculo liso arteriolar,C02,Antihipertensivos,C,Sistema cardiovascular
C02KD,Antagonistas serotonina,C02K,Otros antihipertensivos,C02,Antihipertensivos,C,Sistema cardiovascular
C02KX,Antihipertensivos para hipertensión arterial pulmonar,C02K,Otros antihipertensivos,C02,Antihipertensivos,C,Sistema cardiovascular
C02LA,Alcaloides de rauwolfia y diuréticos en asociación,C02L,Antihipertensivos y diuréticos en asociación,C02,Antihipertensivos,C,Sistema cardiovascular
C02LC,"Agonistas receptores de imidazolidina, asociados con diuréticos",C02L,Antihipertensivos y diuréticos en asociación,C02,Antihipertensivos,C,Sistema cardiovascular
C03AA,"Tiazidas, monofármacos",C03A,"Diuréticos de techo bajo, tiazidas",C03,Diuréticos,C,Sistema cardiovascular
