Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA;VENTAS_2024;VENTAS_2025;VENTAS_2026;VENTAS_TOTAL
026050;FARLINE DUPLO SP TRANS PED 40%;PARAFARMACIA;"";"";"";0;2;0;2
029741;FARLINE GAFA AMBAR 1.5;PARAFARMACIA;"";"";"";1;1;0;2
032840;GAFA FARLINE HIPNOS 3;PARAFARMACIA;"";"";"";0;2;0;2
032836;GAFA FARLINE HIPNOS 1.5;PARAFARMACIA;"";"";"";0;2;0;2
034391;FARLINE LIMA PIES MANGO;PARAFARMACIA;"";"";"";1;1;0;2
009537;GAFA FARLINE DUBLIN AZ 2;PARAFARMACIA;"";"";"";0;2;0;2
018441;DUO BEXIDENT ENCIAS DIA PAS125;PARAFARMACIA;"";"";"";0;1;1;2
026766;FARLINE HOMBRE NEC BASIC AFEIT;PARAFARMACIA;"";"";"";2;0;0;2
007069;FARLINE PINZA DEPILAR NG;PARAFARMACIA;"";"";"";1;0;1;2
026444;APOSAN PASTILLER DIA 3 TOMA;PARAFARMACIA;"";"";"";1;0;1;2
026839;FARLINE NEC BEBE CON MORD RS;PARAFARMACIA;"";"";"";0;2;0;2
099531;AGUA ROSAS 1 L PERLAPHARMA;PARAFARMACIA;"";"";"";0;2;0;2
028458;FARLINE GAFA SOL ARES;PARAFARMACIA;"";"";"";1;1;0;2
028461;FARLINE GAFA SOL CALISTA;PARAFARMACIA;"";"";"";1;1;0;2
013199;GAFA FARLINE OPT TOKIO_RJ 1;PARAFARMACIA;"";"";"";2;0;0;2
026825;APOSAN HOME FLOR PERFUM AMADER;PARAFARMACIA;"";"";"";0;2;0;2
032413;GAFA FARLINE CHINCH´┐¢N 2;PARAFARMACIA;"";"";"";1;1;0;2
025980;FARLINE GAFA SOL HABANERA;PARAFARMACIA;"";"";"";0;2;0;2
033517;FARLINE GAFA SOL PERSEO_POL;PARAFARMACIA;"";"";"";2;0;0;2
007066;FARLINE LIMA NG FIBRA VIDRIO;PARAFARMACIA;"";"";"";0;2;0;2
012582;GAFA FARLINE TEIDE 1;PARAFARMACIA;"";"";"";2;0;0;2
029915;FARLINE DUPLO GEL ARGAN 750ML + VAINILLA 750ML;PARAFARMACIA;"";"";"";2;0;0;2
