Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA
719448;IXIA PLUS 4012.5 MG 28 CO DIF;MEDICAMENTO;C09D;Menarini International Operations Luxembourg S.A.;""
719525;DIOVAN 160 MG 28 COMP DIF;MEDICAMENTO;C09C;Novartis Farma S.P.A.;""
719558;IXIA 40 MG 28 COMP DIF;MEDICAMENTO;C09C;Menarini International Operations Luxembourg S.A.;""
719637;TETRIDAR 20MCGR80MCL PLU2.4ML;MEDICAMENTO;H05A;Teva Pharma S.L.U.;""
719658;DALACIN CR VAG 40 G;MEDICAMENTO;G01A;Pfizer S.L.;""
719680;OXITRIL 60 MG 28 COM;MEDICAMENTO;N06A;Adamed Laboratorios S.L.U.;""
719764;CINFADOL 11.6MG GEL 100G;MEDICAMENTO;M02A;Laboratorios Cinfa S.A.;""
720031;COLPERMIN 187 MG 30 CAP;MEDICAMENTO;A03A;Tillotts Pharma Gmbh;""
720460;CELLMUNE 1MGG 30GR;MEDICAMENTO;D11A;Industrial Farmaceutica Cantabria S.A.;""
720578;INHIXA 60 MG 10 JGA;MEDICAMENTO;B01A;Techdow Pharma Netherlands B.V.;""
720591;INHIXA 20 MG 10 JGA;MEDICAMENTO;B01A;Techdow Pharma Netherlands B.V.;""
720760;PANTECTA 40 MG 28 COM EUR;MEDICAMENTO;A02B;Takeda Pharma Sp. Z O.O.;""
720799;ABILIFY 10 MG 28 COMP DIF;MEDICAMENTO;N05A;Otsuka Pharmaceutical Europe Limited;""
720815;ABILIFY 15 MG 28 COMP DIF;MEDICAMENTO;N05A;Otsuka Pharmaceutical Europe Limited;""
720895;BALZAK 40MG 5MG 28 COMP DIF;MEDICAMENTO;C09D;Menarini International Operations Luxembourg S.A.;""
720955;LACOSAMIDA NORMON 50MG 14COM;MEDICAMENTO;N03A;Laboratorios Normon S.A.;""
721013;NEXIUM MUPS DIFARMED 20 mg 28 COMPRIMIDOS GASTRORRESISTENTES;MEDICAMENTO;A02B;Vianex S.A.;""
721371;SOLIFENACINA CINFA 10MG 30COMP;MEDICAMENTO;G04B;Laboratorios Cinfa S.A.;""
721434;GAVISCON FORTE DOBLE ACT 24 CO;MEDICAMENTO;A02B;Reckitt Benckiser Healthcare S.A.;""
721933;CLAVERSAL 1 G 100 COMP;MEDICAMENTO;A07E;Faes Farma S.A.;""
721997;METALGIAL 500MGML GOTAS 30ML;MEDICAMENTO;N02B;Laboratorios Ern S.A.;""
722016;DAGAN 5 MG 30 COM;MEDICAMENTO;N05C;Meiji Pharma Spain S.A.;""
722035;DOLENGRIP 10SOBRES;MEDICAMENTO;N02B;Tecnimede España Industria Farmaceutica S.A.;""
722044;NEXIUM MUPS 40MG 28 COMP DIF;MEDICAMENTO;A02B;Laboratoires Grunenthal;""
722071;PROGEFFIK 200 MG 15 CAP DIF;MEDICAMENTO;G03D;Effik;""
722072;PROGEFFIK 200 MG 60 CAP DIF;MEDICAMENTO;G03D;Effik;""
722184;CETRAXAL PLUS 3MGML+0.25MGML;MEDICAMENTO;S02C;Laboratorios Salvat S.A.;""
723296;NOIAFREN TABL 20MG 20;MEDICAMENTO;N05B;Atnahs Pharma Netherlands Bv.;""
723424;EDELSINE 0.250.035 MG 21COMP;MEDICAMENTO;G03A;Laboratorios Effik S.A.;""
723526;OMNILAX 10G 30SOB;MEDICAMENTO;A06A;Pro Health Pharma Sweden Ab;""
723626;AVIDART 0.5MG 30 CAP DIF;MEDICAMENTO;G04C;Glaxosmithkline S.P.A.;""
723681;CRESTOR 20 MG 28 COMP DIF;MEDICAMENTO;C10A;Grunenthal Italia S.R.L.;""
723751;ADISOCOL 150MG 60COM;MEDICAMENTO;A05A;Glenmark Arzneimittel Gmbh;""
723762;DIAZEPAM VIR 2MG 30COM;MEDICAMENTO;N05B;Industria Quimica Y Farmaceutica Vir S.A.;""
723846;LOBIVON 5 MG 28 COMP DIF;MEDICAMENTO;C07A;Berlin-Chemie Ag;""
723847;COSOPT DIFARMED 20 mg/ml + 5 mg/ml COLIRIO EN SOLUCION 1 FRASCO 5 ml;MEDICAMENTO;S01E;Santen Oy;""
723906;NORMOSTOP CAFEINA 50MG 12COM;MEDICAMENTO;R06A;Laboratorios Normon S.A.;""
724139;DULOXETINA NORMON 60 MG 56 CAP;MEDICAMENTO;N06A;Laboratorios Normon S.A.;""
724258;ATEROGER 2010MG 30 COM;MEDICAMENTO;C10B;Viatris Healthcare Limited;""
724431;NEOMYX 30CAP;MEDICAMENTO;G04C;Laboratorios Alter S.A.;""
724743;MONOPROST 50MCG 0.2ML 30UD DIF;MEDICAMENTO;S01E;Laboratoires Thea;""
724771;OMEPRAZOL STADA 20MG 14CAP;MEDICAMENTO;A02B;Laboratorio Stada S.L.;""
724977;METFORMINA NORMON 1000MG 30COM;MEDICAMENTO;A10B;Laboratorios Normon S.A.;""
724978;METFORMINA NORMON 1000MG 50COM;MEDICAMENTO;A10B;Laboratorios Normon S.A.;""
724981;CICLOSEB 15 MGG CHAMPU 100ML;MEDICAMENTO;D01A;Galenicum Derma S.L.U.;""
725009;NOTUS MUCUS LIMON 600MG20COM;MEDICAMENTO;R05C;Teva B.V.;""
725107;CELLCEPT 500 MG 50 COMP DIF;MEDICAMENTO;L04A;Roche Registration Gmbh;""
725174;CINFATOS DESCONGESTIVO 200ML P;MEDICAMENTO;R05D;Laboratorios Cinfa S.A.;""
725645;MIRTAZAPINA FLAS NORMO45MG30;MEDICAMENTO;N06A;Laboratorios Normon S.A.;""
725912;GATICA 50MG 56CAP;MEDICAMENTO;N02B;Laboratorios Alter S.A.;""
726001;PARACETAMOL STADA 650MG 20COM;MEDICAMENTO;N02B;Laboratorio Stada S.L.;""
726132;SLENYTO 1 MG 30 COM;MEDICAMENTO;N05C;Rad Neurim Pharmaceuticals Eec S.A.R.L.;""
726150;PRAMEP 20MGML SOL ORAL;MEDICAMENTO;N02B;Laboratorio Stada S.L.;""
726360;SERC FLAS 24MG 60COMP;MEDICAMENTO;N07C;Neuraxpharm Spain S.L.;""
726509;ACORE 10 MG 4 COM;MEDICAMENTO;G04B;Gp Pharm S.A.;""
726802;LEVOTIROXINA ARISTO 50MCG100CO;MEDICAMENTO;H03A;Aristo Pharma Gmbh;""
726803;LEVOTIROXINA ARISTO 25MCG100CO;MEDICAMENTO;H03A;Aristo Pharma Gmbh;""
726811;ZARELIS RETARD DIFARMED 150 mg 30 COMPRIMIDOS LIBERACION PROLONGADA;MEDICAMENTO;N06A;Itf Hellas S.A.;""
726926;FEBUXOSTAT NORMON 80MG 28COM;MEDICAMENTO;M04A;Laboratorios Normon S.A.;""
727288;SEREQUR 320 MG 30 CAPS;MEDICAMENTO;G04C;Laboratorios Q Pharma S.L.;""
727340;DUTATAMS CINF0.50.4MG30CA FR;MEDICAMENTO;G04C;Laboratorios Cinfa S.A.;""
727581;NORDIMET 15MG INY 4PLU 0.6ML;MEDICAMENTO;L04A;Nordic Group B.V.;""
727860;DISIMET 501000MG 56COM;MEDICAMENTO;A10B;Laboratorios Alter S.A.;""
727907;ALNEO 10MG 4COM;MEDICAMENTO;G04B;Laboratorios Alter S.A.;""
728062;GASTROPAN 9050ML 14 CAPS;MEDICAMENTO;A03A;Dr. Willmar Schwabe Gmbh & Co. Kg;""
728063;GASTROPAN 9050ML 42 CAPS;MEDICAMENTO;A03A;Dr. Willmar Schwabe Gmbh & Co. Kg;""
728196;ABILIFY 10 MG 28 COMP;MEDICAMENTO;N05A;Otsuka Pharmaceutical Netherlands B.V.;""
728221;PITAVASTATINA CINFA 2MG 28COM;MEDICAMENTO;C10A;Laboratorios Cinfa S.A.;""
728309;BIPRETERAX 41.25MG 30COM DIF;MEDICAMENTO;C09B;Anpharm Przedsiebiorstwo Farmaceutyczne S.A.;""
728331;BUCOPRO SABOR NARANJA 16 PAST;MEDICAMENTO;R02A;Laboratorios Cinfa S.A.;""
728345;AKLIEF 50 MCG CREMA 75 GR;MEDICAMENTO;D10A;Laboratorios Galderma S.A.;""
728656;BISOPROLOL NORMON 10MG 28COM;MEDICAMENTO;C07A;Laboratorios Normon S.A.;""
728743;SITAGLIPMETF KERN50850MG56CO;MEDICAMENTO;A10B;Kern Pharma S.L.;""
728862;CINFADOL DICLOFENACO 39.2MGML;MEDICAMENTO;M02A;Laboratorios Cinfa S.A.;""
